pdes,tp,q,e,w,om,i,M1,K1,orbit_id
73P-R,2453894.679640511567,0.939131547287258,0.694088213263508,198.769702114044,69.91308584130121,11.3947263030202,19.2,8.0,JPL 15
73P-S,2453895.260161931498,1.02236657781188,0.69335823324,181.562191599204,81.99161507316578,11.0481813428788,21.1,15.0,JPL 2
73P-T,2453895.356637385520,.9395596625390024,.6930133261136288,198.811273610088,69.89209753729159,11.39839723227064,14.1,41.75,JPL 6
73P-V,2453895.159826556049,.9201567092433445,.6934770489933493,203.1096750311751,66.62602797590701,11.56548048333898,21.8,10.,JPL 3
73P-W,2453894.964819511217,.9391578894381527,.6982556072010587,198.6315421172845,70.04349661738824,11.42241329597308,23.2,4.5,JPL 4
73P-X,2453895.049691730906,.9390478608212182,.695386878094683,198.744828613018,69.935866036,11.40470428664802,21.7,10.0,JPL 8
73P-Y,2453895.104123567904,.9391640401643984,.7181092228730851,198.0116349251147,70.62872750928277,11.55279604807981,23.8,4.5,JPL 4
73P-Z,2453894.813419675293,.9424466224751445,.6933525892951293,197.9084282657699,70.57690994871797,11.34370063369903,22.2,10.,JPL 3
73P-AI,2453895.200244047415,.9388931783840914,.698165609339885,198.7301308043815,69.97019181795081,11.42992480739673,21.3,10.0,JPL 7
73P-AJ,2453895.422572771326,.9407242836529337,.6623774763056245,199.211250770343,69.39463640910918,11.13826366019506,21.3,10.0,JPL 3
73P-AK,2453894.882694033521,0.937705211325409,0.69335823324,199.3256981265443,69.37619102093456,11.4294972671815,18.8,30.0,JPL 3
73P-AP,2453893.109783384113,0.938745428567555,0.701430092385429,198.7426204960793,69.9669785019781,11.4659092912232,20.3,10.0,JPL 8
73P-AQ,2453894.400048974205,0.939006436459305,0.695911908759867,198.7713164253278,69.92072504439952,11.4136956180962,17.5,35.0,JPL 9
73P-AR,2453893.310796666163,0.939204760431714,0.695799013016798,198.7098465902828,69.96630167530681,11.406522554195,21.8,20.0,JPL 2
73P-AS,2453892.761313680198,.9388251153500813,.7011056336835199,198.7219593922071,69.97647507180749,11.4618269105828,20.3,10.0,JPL 9
73P-AT,2453892.788674827537,0.939628790402723,0.686932227480063,198.8104065064084,69.84813048476539,11.3346206138147,21.0,10.0,JPL 2
73P-AV,2453892.998219237872,.9389337823888884,.69335823324,198.8600320948713,69.8670691928173,11.39736591011889,23.3,4.5,JPL 2
73P-AW,2453894.670790992546,.9418417484436375,.6482479664610991,199.0907015125213,69.4794170401655,10.97729838917803,21.1,10.,JPL 3
73P-AY,2453895.489628075099,.9408412832587709,.6639784498299979,199.0210625953138,69.58711082630273,11.12606938008317,20.4,10.,JPL 3
73P-AZ,2453893.501237175355,.9421262737962867,.6441287857743391,199.0403129348786,69.50004093303042,10.9281125379832,21.4,10.,JPL 2
73P-BC,2453893.106609153108,0.938807404922457,0.700467515087574,198.7461327274749,69.95554650558832,11.4587061463897,19.8,50.0,JPL 7
73P-BK,2453895.397088011367,0.939266635740712,0.691542805405763,198.7753879911289,69.89745388065928,11.3707772083427,23.7,10.0,JPL 2
73P-BL,2453895.363387102140,0.939099661465389,0.696223718867002,198.699429249213,69.97335799061499,11.4093615023607,22.4,10.0,JPL 2
73P-BN,2453894.712391113391,0.939185744588995,0.691771506515135,198.794770559419,69.88153448038356,11.3774492573962,21.3,10.0,JPL 3
73P-BO,2453894.771569301961,0.939219068906999,0.691827563127927,198.7715535759656,69.89197757406906,11.3761572743389,22.9,20.0,JPL 3
73P-BQ,2453894.800427110940,0.939155663545736,0.692453880247705,198.8198463106619,69.8657752054544,11.3882612457051,20.8,10.0,JPL 2
73P-BT,2457829.320684447972,.9719767582079062,.6856345051905101,199.3494423523701,69.65683849488195,11.23833447259341,13.3,15.25,JPL 9
73P-BU,2459816.330614366035,.9597414569932171,.667699930328248,199.8471547934123,70.7423094585737,11.0540669226366,19.1,10.,JPL 2
73P-BV,2459816.495153236463,.9738558940161054,.6892422663069084,199.3867758972684,69.52342995285947,11.23924309026957,19.0,10.,JPL 3
73P-BW,2459816.935164041100,1.000505668009456,.7777589719994189,198.6812927374699,67.33215549548169,11.61305401373503,20.0,10.,JPL 2
73P-BX,2459816.816719802110,.9741630733757763,.6873483911192525,199.3793600692895,69.49469992684112,11.25884703425679,19.4,10.,JPL 4
73P-BY,2459815.784310810518,.9710434009600645,.6799348982516616,199.4623320965036,69.76795232112629,11.19801828528293,19.3,10.,JPL 2
74P,2455039.203198600208,3.550636131398531,.1476687180626193,86.58983601961256,77.08408155927017,6.651029232181267,6.7,14.,JPL K264/1
76P,2456420.535184368226,1.602123469751543,.5384170227527965,.04843890903943888,84.11256439148536,30.47514481422379,15.4,10.25,JPL K195/8
77P,2457523.060552097098,2.332892907055825,.3541999161969799,196.9667698723941,14.89200623836897,24.34216596371529,9.1,14.75,JPL 71
78P,2455938.604936700757,2.011536547242388,.461637372748463,192.7558599464267,210.5626757533421,6.252696505134401,9.0,13.25,JPL K192/24
79P,2454614.911432973460,1.230504097618105,.5940852746390944,253.2696876465822,307.8386464761982,2.893178304077592,17.4,4.5,JPL 17
79P-A,2445058.943087154663,1.194750809922003,.6023273293368896,251.5747726566037,309.3824696459872,2.944088531604184,16.9,10.,JPL 4
79P-B,2445059.412363622874,1.193726737476237,.5996133080988838,251.7224341773509,309.3093453631898,2.936085459940086,17.5,10.,JPL 3
80P,2456971.762194362879,1.611798744244297,.5993980769227218,339.1634123560768,259.8459665252867,29.93031930287708,11.8,15.75,JPL 32
81P,2459929.262468073693,1.595612043248301,.537452826092457,41.7263235540666,136.1115160636291,3.23710556826336,9.8,12.5,JPL K222/25
82P,2452151.788084331350,3.625705145656267,.1232542077837754,227.4956617541502,239.5914610958287,1.126554815725817,7.6,18.5,JPL 19
84P,2456496.572377671349,1.840490783412315,.4944679176981627,276.4047896990754,112.3893362880986,7.284293770723781,14.2,6.5,JPL 49
86P,2457115.985222660076,2.263511247214475,.3721913239191914,179.1867364073657,72.39419568437434,15.47206372065769,17.2,4.5,JPL K152/7
87P,2456646.401481615152,2.101174815284378,.3893476920698341,24.75638615410691,181.8898060895848,2.6023944932398,12.7,14.,JPL K203/18
88P,2457118.720952951726,1.358196876790368,.5630944119416461,235.8937321200179,56.6975970720305,4.383100837822769,12.1,9.,JPL K203/27
89P,2457737.167700594372,2.220560491302702,.4080086717680977,250.1412418962987,41.44523182729435,12.07653406440023,11.2,15.5,JPL 24
90P,2457923.775418387160,2.974897324942635,.5097928579287074,29.27002672646282,13.2518277429544,9.635376173971069,7.0,18.,JPL K172/13
91P,2453548.590156465527,2.60566494659677,.3302241440164385,354.8657523066508,247.8959797672859,14.09216573033272,7.7,21.75,JPL K204/3
92P,2457082.683535729799,1.825455658882622,.6593254789566613,163.7890342412169,181.4589164241891,19.44460631112987,11.1,17.,JPL 28
93P,2457813.952339361232,1.700150174908333,.6126650383337702,74.89804338193238,339.6274201271978,12.20450342919124,12.5,10.,JPL 62
94P,2457689.325429789018,2.232919975895901,.3640907405016965,92.67932276011142,70.90253514243683,6.184093129147321,13.4,9.,JPL 75
96P,2458054.460930588309,.1239494080283305,.9591604569014903,14.79291874358058,94.25475500848404,58.1379341982923,13.6,9.,JPL K233/7
97P,2459631.404510140919,2.606589331502639,.4569372913054443,228.2272899897204,185.1745222244001,17.8610361664066,15.2,4.5,JPL K223/9
98P,2456509.976502286554,1.672338149803353,.560585959923109,157.9474151951102,114.7526749114245,10.5459800822991,14.6,8.75,JPL K203/2
99P,2459678.152852726406,4.72687680505338,.2295991282974786,174.1887668786723,28.17953415051851,4.33726841267952,6.7,12.,JPL 69
100P,2457480.596489764116,2.009714538492619,.4137581328378765,181.8760610519012,37.76542853203424,25.58418133370882,10.0,23.25,JPL 39
101P,2458856.024447846502,2.325040734137612,.5978489621995254,277.4145314543655,116.6100450504392,5.033218039468318,13.7,4.5,JPL K202/4
101P-B,2453728.889344207515,2.350527046947969,.5947203403123665,263.1851639654208,130.2337768015298,5.078327540984246,13.0,10,JPL 5
102P,2456536.656015039152,1.968583264509834,.4731654920192473,18.74460239787177,339.8733382485834,26.2449062377407,16.2,5.5,JPL K213/2
103P,2455497.806162004532,1.060463108084001,.6946634807026749,181.2896577307742,219.7506343195598,13.61966562968585,16.1,4.5,JPL K234/17
104P,2459591.117474041756,1.073098415756543,.6654527191420735,227.2458876459766,207.2135256417651,5.701090049412283,14.6,12.75,JPL K222/11
105P,2455983.695786518497,2.050833442476216,.4092903547464972,46.6827608522571,192.420042683955,9.170614994406176,13.8,9.75,JPL 46
106P,2456858.962870646759,1.540696249699223,.5895321751830986,355.9826443985049,50.32239739473352,20.19768532684756,11.2,22.5,JPL 39
108P,2459498.728166488618,1.526125116349005,.5810134476572392,356.8617072910779,52.40239463092706,13.98015613499469,10.9,19.5,JPL K212/19
109P,2448968.499784556297,0.959516155068868,0.963225755046038,152.9821676305871,139.3811920815948,113.453816997171,4.5,15.0,JPL 32
110P,2457008.177426532645,2.464450156367088,.3162802737463254,167.3956117240493,287.5295729652127,11.69836175150857,4.3,26.75,JPL K212/36
111P,2456323.129239941113,3.704303387230362,.1096207704078609,3.37794152502789,89.79399820609125,4.228807042165645,8.4,17.,JPL 8
112P,2456468.000860755982,1.458797689159836,.5874927433257943,21.35220190190807,31.9318348258102,24.20145291581962,14.5,15.,JPL 35
113P,2457136.254477535569,2.118853262702127,.4244825430874336,50.02270167042557,14.38601270856959,5.776324304049313,14.3,8.25,JPL 78
114P,2458862.738377750612,1.57940877101019,.5544796058473015,172.8433660991442,271.062057267607,18.27303859921894,13.9,12.25,JPL K203/20
115P,2455839.537669909298,2.057402622891182,.5182955789513104,121.1138086020009,176.0779968908898,11.66972861001243,13.0,10.5,JPL 43
116P,2457399.027832794657,2.187086604138816,.3722890057601753,173.311134578031,20.99193949514943,3.607854117648351,7.6,17.25,JPL K223/41
117P,2456743.530661880666,3.050726318065864,.2545939144623446,222.4999555546315,58.87479410594549,8.701252503918873,6.5,13.5,JPL K222/71
118P,2459906.699686027211,1.831170690834888,.4548714767341639,314.4885365878649,142.1151844265338,10.09554556466913,12.3,11.,JPL K222/45
119P,2456751.291051821422,3.025409665983067,.2953767115295149,181.7345020906843,243.8231804615536,5.184136399025603,9.6,13.,JPL 107
120P,2453277.936965200537,2.743862527603342,.3365387805794772,30.00802529800133,4.442766953653403,8.79119538756936,6.6,26.25,JPL 25
121P,2453251.998888222844,2.651067890522655,.3398840197689508,6.85884377622388,99.41001637723181,17.74012104006194,6.0,19.75,JPL 57
122P,2449996.500173375464,0.6593373359243723808020,0.9627088867609727707019,12.99609193700053,79.62450068849807,85.382753114444753350653,7.5,10,JPL 27
123P,2458518.839864880326,2.126106874531257,.4492702213969574,102.9184468350662,46.52737304496928,15.3545455772283,8.2,18.,JPL K192/7
124P,2456757.117845398410,1.645339696248072,.5038758219381473,183.7127601527539,.4145440062149483,31.52900577034607,16.5,4.5,JPL 62
125P,2456340.883217167682,1.525211994136073,.5120401837068013,87.29359844035815,153.1877488061983,9.986457950401826,12.6,17.,JPL 32
126P,2460132.544061110425,1.719302174369405,.695315837256002,356.5075206958376,357.8208269078328,45.79253529521293,13.3,5.,JPL K233/19
127P,2457465.330416543081,2.205833957570951,.3607328777739897,6.714841747590347,13.65125582678758,14.30208209329517,10.5,20.,JPL K223/25
128P,2457763.639049540296,3.054379357180198,.3220169800985928,210.4973348075075,214.3433433088412,4.363311993562433,6.8,19.5,JPL K172/11
128P-A,2457880.196935076947,3.034620890006818,.3341244560473043,210.5667859053697,214.4009006383635,4.353888335077986,8.5,10,JPL 11
128P-B,2450772.788781930694,3.047035099236322,.3212585112842391,210.2169312978122,214.5275829560614,4.361724121462829,5.6,19.,JPL 33
129P,2456688.758864651459,3.911973332383282,.09698258206556558,307.2810697138458,185.8726370397048,3.439154398995733,14.3,4.5,JPL K223/25
130P,2455737.538239376300,2.098278564919334,.4074623309746413,224.4707403595188,89.78394835488493,7.308908751165531,13.0,9.75,JPL 54
131P,2455934.345765990702,2.417741522532803,.3430115020043426,179.633855733234,214.2265569436209,7.355164099867491,8.6,23.25,JPL 39
132P,2459531.606468114157,1.691774562677133,.5646963015397318,216.3455183337611,173.9965717117403,5.382515459832148,10.2,22.25,JPL K212/19
134P,2456798.947668671302,2.571724794237012,.5871533464284463,18.56022478846696,202.1234304908432,4.348710731845402,5.3,21.,JPL 21
135P,2451523.001769911422,2.716889808171911,.290228512052446,22.69803361026777,213.3619830482647,6.050580893903847,7.0,17.0,JPL 18
136P,2457540.030570833506,2.975898098358854,.2915819369171432,225.3034679345716,137.4689521370854,9.415533385198206,7.2,19.25,JPL K162/3
137P,2458466.598979501910,1.93332834692754,.5720565585180254,140.9894370953711,233.0733175603688,4.850374250887996,15.4,4.5,JPL 44
138P,2453571.404319544281,1.707302198226694,.5294518760783127,95.64910660338207,309.4417698756743,10.07952060977841,16.7,8.,JPL 19
139P,2454576.942383031845,3.40292120840971,.2475258895835873,165.7253966892989,242.3775854441777,2.328730212472332,7.2,18.,JPL 41
140P,2451313.311929034546,1.97187717420617,0.691761661370916,173.0867710151257,343.4564572071254,3.83582756854885,11.5,15,JPL 25
141P,2459199.450450294167,.8043052026727719,.7367075034534182,153.6171477469059,241.8770902984392,13.97777678047089,17.3,4.5,JPL K202/12
141P-A,2451522.103095540126,.751174367939751,.7504734077906811,149.244253309364,246.1551562177739,12.79337930969478,12.0,30.0,JPL 79
141P-D,2451522.453125768286,.7489599354244401,.7510941447488013,149.2924228695888,246.14177171,12.81198253165266,12.5,30,JPL 12
141P-I,2459199.359699653792,.8080157147431282,.7364647367107492,153.5653041962972,241.8153010929951,13.9516147070705,19.8,4.5,JPL 3
142P,2455346.835959654336,2.487899805037249,.4997247366828084,175.6880638030689,176.5196635181199,12.30744041925859,10.1,18.75,JPL K213/4
143P,2458247.582813434191,2.540813685244805,.4088093092435588,320.7831085608001,245.3211164475488,4.689746260039139,14.5,4.5,JPL 95
144P,2457631.633833286964,1.43107679143584,.6292963610192831,216.1847768167639,245.4564057751946,4.11726727811846,6.9,28.5,JPL K242/3
145P,2457997.334462111431,1.901601963988758,.5409816392416366,10.42031025289311,26.84075894637009,11.26421319155015,13.4,8.25,JPL 32
146P,2457569.065116529103,1.42576921191251,.646726656289458,317.0689507155134,53.44724388498319,23.09409337090814,13.5,16.,JPL K163/2
147P,2454732.368450487631,2.7562341423379970173357,0.2760252083897379860033,346.8408341847135,93.76206553452435,2.3679635720599740977832,4.5,23.,JPL K083/2
148P,2457187.186012369204,1.69445027811092,.5392848969170319,6.593168648433092,89.78933067279476,3.682156457421041,13.0,14.,JPL 29
149P,2455246.203094618071,2.646438541483854,.3883179911287077,43.56707734128755,145.2550898345688,29.75479752357087,15.5,4.5,JPL 15
150P,2454796.011799791785,1.768527591575826,.5452531773516106,245.6390493112631,272.4297433572416,18.49845852251522,15.6,4.5,JPL 57
151P,2457302.124168493494,2.491925592738829,.5708938454732111,215.5303829879585,143.5540230022388,4.734715026806412,8.5,21.75,JPL 35
152P,2456117.299816556619,3.115748520692662,.3070717372041782,163.7108624842552,91.91042898339903,9.868105372153575,11.9,7.75,JPL 92
153P,2452352.480159443828,.5070700896059622,.9900806570176691,34.66817865742473,93.36945661875394,28.1209574068563,4.0,15.0,JPL 74
154P,2456638.902182562519,1.608067786852945,.6707089467403451,48.98859953927756,343.5033031710748,17.82970460213863,10.8,16.75,JPL K132/2
155P,2452616.592719061175,1.80614162514164,.7261071562296606,14.60188647209168,97.276219429292,6.398094461563875,10.,12.0,JPL 53
156P,2459171.326346011073,1.333115162690266,.6149238983079718,.37808969411674,35.39722114846191,17.26358893400925,12.7,9.,JPL 48
157P,2459793.764534823682,1.249907663828998,.6285354216737308,157.3384727967513,289.6421639637898,10.9989012868582,15.2,4.5,JPL K222/9
157P-B,2459830.565635961816,1.551987387462324,.5011093561620154,153.9770702895046,287.1023341111452,12.42744628542088,15.7,10.,JPL 4
158P,2456190.332487984134,4.577028245675285,.03029860083031377,232.0581048119534,137.3092340005906,7.908162149815905,7.0,13.75,JPL 150
159P,2458261.694203711317,3.621085497979628,.3820766227646656,4.872797978681144,55.06434940576393,23.46243119592039,12.9,4.5,JPL 54
160P,2456189.023107507824,2.066541048169307,.4790971487339167,18.19829512986031,337.0020906796049,17.27621470826743,6.7,31.25,JPL 59
161P,2453542.350534576275,1.274829386138673,.8350880971909477,47.09145237546669,1.398165371226708,95.69805019936666,11.5,11.5,JPL 60
162P,2455263.932408534170,1.233156991028353,.5960662957053636,356.3178015423605,31.23762140917068,27.81683180613419,15.2,4.5,JPL 155
163P,2453402.853939879646,1.928340102923126,.4760207902070628,348.0530592645111,103.3473604614274,12.5046364138996,11.8,19.75,JPL 40
164P,2458269.412235918248,1.681450015417078,.5402860343298719,326.0039134537305,88.30743483611026,16.26201829366678,14.3,4.5,JPL K182/9
165P,2451711.293431131379,6.830373294232157,.6215859839121411,126.2054227184884,.6387682655327216,15.90526367300277,5.9,11.5,JPL 51
