pdes,tp,q,e,w,om,i,M1,K1,source
80P,2456971.539188830275,1.612724740769127,.5989902415048468,339.1311051464525,259.8892998524929,29.92275599280534,9.3,27.,ORB
81P,2455250.055133471148,1.597962172703352,.5370669527525688,41.75542652385163,136.0973008599784,3.237271708254803,8.7,14.25,ORB
82P,2452151.788084331350,3.625705145656267,.1232542077837754,227.4956617541502,239.5914610958287,1.126554815725817,7.6,18.5,ORB
84P,2456496.572377671349,1.840490783412315,.4944679176981627,276.4047896990754,112.3893362880986,7.284293770723781,14.2,6.5,ORB
86P,2457117.520552485072,2.282560174289136,.3687169262916488,178.665283902942,72.4526216141705,15.47735410909144,15.9,10.,ORB
87P,2456646.401481615152,2.101174815284378,.3893476920698341,24.75638615410691,181.8898060895848,2.6023944932398,12.7,14.,ORB
88P,2457118.719147781624,1.35829818558359,.5630784241440815,235.8979819440343,56.69765111295725,4.382984890130126,12.0,9.5,ORB
89P,2457737.168519034023,2.220561913965532,.4080083815513693,250.1414428824369,41.44521124700714,12.07653613877625,12.6,12.,ORB
90P,2457923.775565136283,2.974897484109951,.5097929126747022,29.26997752861308,13.25190332544677,9.635377864966653,6.5,19.,ORB
91P,2453548.590156465527,2.60566494659677,.3302241440164385,354.8657523066508,247.8959797672859,14.09216573033272,7.7,21.75,ORB
92P,2457082.683535729799,1.825455658882622,.6593254789566613,163.7890342412169,181.4589164241891,19.44460631112987,11.1,17.,ORB
93P,2457813.952339361232,1.700150174908333,.6126650383337702,74.89804338193238,339.6274201271978,12.20450342919124,12.5,10.,ORB
94P,2455285.205009605739,2.240219448676271,.3630667064001192,92.83287012103091,70.91232775008748,6.182480042940086,13.2,9.5,ORB
96P,2454196.156080118566,.1237142323289413,.9592074836894154,14.7463138854509,94.35081293062883,58.53858182853028,13.4,11.25,ORB
97P,2455793.183098166210,2.604021608446533,.4573932742257172,228.2912964551788,185.1974637230118,17.86957001570563,12.9,9.,ORB
98P,2456509.976502286554,1.672338149803353,.560585959923109,157.9474151951102,114.7526749114245,10.5459800822991,14.6,8.75,ORB
99P,2454127.814523776310,4.747082470163497,.2280897962580284,174.5892534065207,28.20687982375802,4.332548016767666,6.8,12.25,ORB
100P,2455171.647043373621,1.98240004348726,.4187071505270601,181.7070943094326,37.84596497146841,25.65332278421983,11.3,19.,ORB
101P,2458848.660170873793,2.306891166099306,.6004706133670452,276.6556412615203,117.3518985354313,5.013010439819837,13.7,4.5,ORB
101P-B,2453728.889344207515,2.350527046947969,.5947203403123665,263.1851639654208,130.2337768015298,5.078327540984246,13.0,10,ORB
102P,2456536.648925190238,1.9685951692596,.4731725946903004,18.74173505177064,339.8748058609365,26.24502541948422,16.1,5.75,ORB
103P,2455497.765315841213,1.058679098998275,.6948883789281467,181.2099869444809,219.7583231740731,13.61926973311054,14.2,15.,ORB
104P,2457475.828092552769,1.17798480049873,.6392015474660759,200.7233253573781,235.3611327233704,10.26969661508463,15.9,12.,ORB
105P,2455983.695786518497,2.050833442476216,.4092903547464972,46.6827608522571,192.420042683955,9.170614994406176,13.8,9.75,ORB
106P,2454193.441851553421,1.550888062704428,.5877512574420207,355.7823768710336,50.56173401180644,20.13633719656235,11.2,20.,ORB
108P,2456948.983503232282,1.708830260921039,.5434625655961193,358.1202101939352,53.64467906421998,13.09618672808104,9.3,26.,ORB
109P,2448968.499784556297,0.959516155068868,0.963225755046038,152.9821676305871,139.3811920815948,113.453816997171,4.5,15.0,ORB
110P,2457009.066492421048,2.474146493600092,.3152765666977769,167.6973627793075,287.6740312340153,11.68426186943938,6.8,20.5,ORB
111P,2456323.129239941113,3.704303387230362,.1096207704078609,3.37794152502789,89.79399820609125,4.228807042165645,8.4,17.,ORB
112P,2456468.000860755982,1.458797689159836,.5874927433257943,21.35220190190807,31.9318348258102,24.20145291581962,14.5,15.,ORB
113P,2454548.996774304500,2.128430863714982,.4228189380442134,49.87286986760096,14.47372344175233,5.776137402799629,14.0,10.5,ORB
114P,2458862.740764126341,1.579408417169315,.5544783733961703,172.8436305352125,271.0621020611337,18.27307013650009,13.9,12.,ORB
115P,2455839.532533876907,2.057416071826029,.5182928382587354,121.113898742594,176.0778058896553,11.66973500016411,13.0,10.5,ORB
116P,2455031.012926407326,2.178529235432303,.3736429783453799,173.6666321309108,21.03489296747833,3.611647903490578,8.2,16.,ORB
117P,2456743.154023187212,3.053717432753454,.2541423500223399,222.5475376055485,58.8740039379026,8.699488171066694,5.8,14.5,ORB
118P,2457556.476682144191,1.980070503416935,.4280944801604739,302.3394736436395,151.7269909293366,8.514215309989165,10.9,13.75,ORB
119P,2456750.336272902860,3.035433009926321,.2911388801625011,181.0733885696859,244.0776907808112,5.193147896263275,12.5,7.25,ORB
120P,2453278.604070186571,2.746807155357698,.336662206520318,30.16639379641331,4.461100193933076,8.787089100165726,4.3,30.75,ORB
121P,2453250.215333541518,2.648121917851742,.3384566096450156,6.229882613689777,99.66991751542987,17.71778250246377,5.6,20.25,ORB
122P,2449996.500173375464,0.6593373359243723808020,0.9627088867609727707019,12.99609193700053,79.62450068849807,85.382753114444753350653,7.5,10,ORB
123P,2458518.839864880326,2.126106874531257,.4492702213969574,102.9184468350662,46.52737304496928,15.3545455772283,8.2,18.,ORB
124P,2456757.115793119008,1.645335604353245,.503879699243008,183.7115098309219,.4145733620302468,31.52903948645166,16.4,4.5,ORB
125P,2456340.883217167682,1.525211994136073,.5120401837068013,87.29359844035815,153.1877488061983,9.986457950401826,12.6,17.,ORB
126P,2455257.320090233963,1.716156581907463,.6950931272102849,356.9554426639248,357.7503017603217,45.8352260389661,8.8,17.,ORB
127P,2455125.864820917468,2.195723043641129,.3623455624836588,6.540056514329597,13.68456209223027,14.32165437252401,9.5,23.,ORB
128P,2457763.639049540296,3.054379357180198,.3220169800985928,210.4973348075075,214.3433433088412,4.363311993562433,6.8,19.5,ORB
128P-A,2457880.196935076947,3.034620890006818,.3341244560473043,210.5667859053697,214.4009006383635,4.353888335077986,8.5,10,ORB
128P-B,2450772.788781930694,3.047035099236322,.3212585112842391,210.2169312978122,214.5275829560614,4.361724121462829,5.6,19.,ORB
129P,2456703.329297488513,3.697991699699139,.1359066129019424,312.8166297006061,187.8303848254882,3.551575310246609,14.3,4.5,ORB
130P,2455737.294744488128,2.098074456302373,.406738707574909,224.3736637933758,89.81289187480661,7.307309105263396,13.3,9.,ORB
131P,2455934.345765990702,2.417741522532803,.3430115020043426,179.633855733234,214.2265569436209,7.355164099867491,8.6,23.25,ORB
132P,2459531.596317354954,1.691335607488943,.5650509959549056,216.3461083458044,174.0123898689722,5.380636299385787,10.3,24.,ORB
134P,2456798.947668671302,2.571724794237012,.5871533464284463,18.56022478846696,202.1234304908432,4.348710731845402,5.3,21.,ORB
135P,2451523.098221016495,2.717392719212513,.2901403770968527,22.69833249604233,213.357338917522,6.050220694183359,7.0,17.0,ORB
136P,2457539.917224692172,2.975201101233285,.2917012132182821,225.3036710389666,137.4765907245934,9.415548291492428,4.9,24.25,ORB
137P,2458466.603669347908,1.933300086425401,.572059275934346,140.9903955041453,233.0732746596554,4.850394307947268,15.4,4.5,ORB
138P,2453571.404319544281,1.707302198226694,.5294518760783127,95.64910660338207,309.4417698756743,10.07952060977841,16.7,8.,ORB
139P,2454576.942383031845,3.40292120840971,.2475258895835873,165.7253966892989,242.3775854441777,2.328730212472332,7.2,18.,ORB
140P,2451313.311929034546,1.97187717420617,0.691761661370916,173.0867710151257,343.4564572071254,3.83582756854885,11.5,15,ORB
141P,2459199.442488181092,.8042282437844125,.7367277893237026,153.6189272636393,241.8769262240817,13.97823079724828,17.1,5.,ORB
141P-A,2451522.103095540126,.751174367939751,.7504734077906811,149.244253309364,246.1551562177739,12.79337930969478,12.0,30.0,ORB
141P-D,2451522.453125768286,.7489599354244401,.7510941447488013,149.2924228695888,246.14177171,12.81198253165266,12.5,30,ORB
142P,2455349.660317569075,2.484095353773429,.4985792035136841,176.0603172299829,176.5712787996967,12.31024274751631,15.5,4.5,ORB
143P,2454993.300307957159,2.541579774443136,.4086879638938288,320.7975398234026,245.3231166952665,4.689568153416466,14.5,4.5,ORB
144P,2454858.355599641006,1.438988740092205,.6278179422811281,216.0950319605645,245.5592386512142,4.10912029789126,13.4,9.75,ORB
145P,2457997.334462111431,1.901601963988758,.5409816392416366,10.42031025289311,26.84075894637009,11.26421319155015,13.4,8.25,ORB
146P,2457569.065116529103,1.42576921191251,.646726656289458,317.0689507155134,53.44724388498319,23.09409337090814,13.5,16.,ORB
147P,2454732.368450487631,2.7562341423379970173357,0.2760252083897379860033,346.8408341847135,93.76206553452435,2.3679635720599740977832,4.5,23.,ORB
148P,2454609.198036116833,1.701606909090857,.5379040187556192,6.632509973391603,89.79503924058253,3.678753051842137,12.9,14.25,ORB
149P,2455246.142914625694,2.64727789236614,.3882007873891392,43.58392065363044,145.2534026452151,29.75161323136183,15.5,4.5,ORB
150P,2454796.493730397916,1.767700651965978,.5457797211159796,245.6702010234571,272.4278263933224,18.50019520128608,15.7,4.5,ORB
151P,2457302.278978845222,2.493085610807924,.5707454240855666,215.5180433913689,143.5574035298307,4.73497202072889,8.5,21.75,ORB
152P,2456117.782751109006,3.116420963126949,.3074152885455035,163.80976487,91.91130012104979,9.867017217521962,11.4,8.5,ORB
153P,2452352.480159443828,.5070700896059622,.9900806570176691,34.66817865742473,93.36945661875394,28.1209574068563,4.0,15.0,ORB
154P,2456638.902414362428,1.608066401551812,.6707084350744681,48.98875093603971,343.5032204168225,17.82971603463223,10.7,17.,ORB
155P,2452616.573886190267,1.806225595975299,.7260961715473442,14.60223955198564,97.27600604960912,6.398002867072,10.,12.0,ORB
156P,2459171.313576861585,1.333090567466156,.6149676979456414,.3675706814045548,35.40578922959016,17.2646280074315,12.9,7.75,ORB
157P,2455248.002932355996,1.360406357112748,.6011632841400669,148.7151707585643,300.1140678270338,7.277847166518737,15.5,4.75,ORB
158P,2456187.061128655544,4.578283875542475,.02989824756093611,231.7049996237668,137.3093979164301,7.908467791930707,7.0,13.75,ORB
159P,2458261.694203711317,3.621085497979628,.3820766227646656,4.872797978681144,55.06434940576393,23.46243119592039,12.9,4.5,ORB
160P,2456189.021070835089,2.066541396860307,.4790954081811925,18.19746732662544,337.0020958443905,17.27621952090086,6.7,31.25,ORB
161P,2453542.350534576275,1.274829386138673,.8350880971909477,47.09145237546669,1.398165371226708,95.69805019936666,11.5,11.5,ORB
162P,2455263.922661172323,1.233070096428876,.5960631124236645,356.3064095876924,31.24007923942495,27.81675803600152,15.3,4.5,ORB
163P,2453402.853939879646,1.928340102923126,.4760207902070628,348.0530592645111,103.3473604614274,12.5046364138996,11.8,19.75,ORB
164P,2458269.412235918248,1.681450015417078,.5402860343298719,326.0039134537305,88.30743483611026,16.26201829366678,14.3,4.5,ORB
165P,2451711.293431131379,6.830373294232157,.6215859839121411,126.2054227184884,.6387682655327216,15.90526367300277,5.9,11.5,ORB
166P,2452415.340947804588,8.564302274369588,.3831009241033613,321.8789017302635,64.48883847202967,15.36840138378012,7.0,8.75,ORB
168P,2456202.433376355370,1.415279122552949,.609474519674165,13.91912904077119,356.477670872156,21.92936571223644,7.4,42.5,ORB
169P,2455165.976700556259,.607302742278664,.7668172062104814,217.9798820153891,176.2089239380909,11.30147174856602,16.8,4.5,ORB
170P,2453762.130644873669,2.928076494361703,.3042181922597016,225.3789152994892,143.0116326499152,10.1282616779703,10.8,12.5,ORB
171P,2458497.258102152914,1.771332348465658,.5020210572590079,347.1878637277071,101.7081664638199,21.93636624712738,12.2,20.,ORB
172P,2454755.906944061866,2.241453394107939,.3649285571853082,180.359115212385,39.35563828994676,11.60310204668613,14.8,4.5,ORB
173P,2454602.050086986578,4.206297009101259,.2610812381984811,29.433117966253,100.5043538166102,16.50153627230434,12.1,4.5,ORB
175P,2456438.700949541505,2.015938937607542,.4221748462030159,51.13961201642894,126.4354790912761,6.093929260970516,9.7,21.5,ORB
177P,2453976.183241819866,1.107271122596795,.9544420406209867,60.45355083971904,272.0677211344989,31.21645855446403,15.7,13.,ORB
178P,2456496.515769102927,1.933842804541083,.4729919523404931,296.9463255581147,103.5748531955486,10.97529382676345,13.6,10.,ORB
179P,2454439.175700519671,4.081928760725117,.3073286224300528,295.7011591292119,115.8803880485065,19.88526705167764,5.0,17.5,ORB
180P,2454612.063786575555,2.481326780837824,.3555557373399909,95.30370209935556,84.65130102313798,16.88504049591769,5.6,26.25,ORB
181P,2456818.825833040463,1.123593041258743,.7073228278805144,333.7988485602352,37.6794577153227,16.98117916666919,16.3,17.,ORB
182P,2454137.332973430860,.9780223894453234,.6663423537151608,51.43385800364934,75.10005302488305,16.90929376463073,20.8,4.5,ORB
183P,2454589.944234532806,3.888057116789763,.134955173760814,160.9026061544765,5.842860289809564,18.73884262328877,13.1,4.5,ORB
184P,2456501.965522224876,1.394023424475308,.604251108072664,78.06092118768561,277.7449665216805,1.551449297513431,18.4,5.5,ORB
185P,2456153.051370563047,.9319757108506322,.6993345995045035,181.9391939260816,214.0912549894404,14.0071028125114,13.4,10.,ORB
186P,2454615.428647619626,4.320612683642799,.127012807228085,287.2867497489762,327.5965359186473,28.55242076152731,6.6,12.25,ORB
187P,2454762.083761668765,3.715327823749933,.1731823615852687,134.7358165923954,111.7360928195993,13.65508613815119,7.3,16.75,ORB
188P,2457801.542847274152,2.565145710223482,.4148529023488451,26.77145035596338,358.9814968959161,10.51135701353678,11.3,11.,ORB
189P,2454307.436161351996,1.173800687651032,.5976635079194662,15.30269227528813,282.1995605467127,20.40128623582695,19.1,4.5,ORB
190P,2454289.709086793685,2.031923755618229,.520745591883073,49.73911755327738,336.1151285423772,2.189852345931994,13.7,10.75,ORB
191P,2454356.746764304320,2.047288132094593,.4204635344251787,274.1770662734319,106.5233316022971,8.760553426771269,13.4,9.,ORB
192P,2454451.740996255542,1.460559253300469,.7740800338485342,312.7842038623888,51.66440242999915,24.56930100022372,12.1,14.5,ORB
193P,2456985.956238712617,2.163166700483453,.3949767804698278,8.485519791893269,335.2376265331196,10.69108096807565,8.0,25.75,ORB
194P,2457449.942514284371,1.697713555806843,.5755808395443396,130.711455746716,351.9937652644215,11.13800510665402,14.1,17.,ORB
